1,ダンデライオンアニメーションスタジオ,03-6904-5161 ,東京都練馬区東大泉2丁目7番地28号
2, 十文字,null,東京都三鷹市下連雀3?4?29 6階
3,ジェノスタジオ,03-6276-9601,東京都杉並区荻窪5丁目30番16号 MTCビル5階
4,エイトビット,null,東京都杉並区上荻1-16-14武蔵館ビル4F
5,ポリゴン・ピクチュアズ,03-5789-4170 ,東京都港区南麻布3-20-1 Daiwa麻布テラス1階
6,GONZO,03-5347-0544 ,東京都杉並区成田東5-17-13 ハーモナイズビル1階
7,デイヴィッドプロダクション,042-349-1050,東京都小平市小川町1丁目88-1M&K東大和ビル3階
8,スタジオディーン,0422-35-3301,東京都武蔵野市吉祥寺南町4丁目4番13号
9,studioぴえろ,0422-70-6401,東京都三鷹市下連雀2-29-13
10,バンダイナムコエンターテインメント,03-3375-7656,東京都港区芝5-37-8　バンダイナムコ未来研究所
11,サエッタ,null,東京都杉並区阿佐谷南3丁目12番5号第五南開ビル
12,サンライズ,null,東京都杉並区上井草2-44-10
13,Production I.G,0422-53-0136,東京都武蔵野市中町2-1-9
14,マッドハウス,03－5308－3960,東京都中野区本町3-23-3　新中野ＡＭ1ビル3Ｆ
15,NAZ,03-6824-9271,東京都新宿区高田馬場三丁目23番1号 YSKビル3階（本社）
16,マギア・ドラグリエ,null,東京都武蔵野市中町２丁目３０－１４ＭＯＬＡビル 
17,monofilmo,03-6383-0595,東京都杉並区阿佐谷南２?４０?１
18,トムス・エンタテインメント,0120-666-036,東京都中野区中野3丁目31番1号
19,GEEKTOYS,03-5305-6701,東京都杉並区高円寺南4-7-5岡本ビル7階
20,CloverWorks,null,東京都杉並区梅里1-7-7 新高円寺ツインビル3F
21,ライデンフィルム,03-6383-5881,東京都杉並区上荻1丁目2-1
22,クラフター,03-6277-7727,東京都港区赤坂5-2-20 赤坂パークビル
